# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\simon.png	255	0	255
1	textures\simon-death.png	255	0	255
10	textures\simon-effect.png	255	0	255
20	textures\floor.png	255	255	255
30	textures\holder.png	255	0	255
31	textures\hit-effect.png	255	0	255
32	textures\burn.png	255	0	255
40	textures\item.png	255	0	255
50	textures\whip.png	255	0	255
51	textures\dagger.png	255	0	255
100	textures\texture-map-1.png	255	255	255

#id	left	top	right	bottom	texture_id
[SPRITES]
#SIMON
#intro
10000	60	66	120	132	0
# left
# idle
10001	0	0	60	66	0
#walk
10002	60	0	120	66	0
10003	120	0	180	66	0
#jump/duck
10004	240	0	300	66	0
#hurt
10005	900	66	960	132	0
#death
10006	0	0	64	68	1
#stair
#up
10011	60	0	120	66	0
10012	240	66	300	132	0
#down
10016	60	0	120	66	0
10017	120	66	180	132	0
#whip/use subweapon
#standing
10021	300	0	360	66	0
10022	361	0	421	66	0
10023	420	0	480	66	0
#ducking
10026	420	66	480	132	0
10027	-1	132	59	198	0
10028	61	132	121	198	0
#uping
10031	300	132	360	198	0
10032	360	132	420	198	0
10033	420	132	480	198	0
#downing
10036	120	132	180	198	0
10037	180	132	240	198	0
10038	240	132	300	198	0

# right
# idle
11001	900	0	960	66	0
# walk
11002	840	0	900	66	0
11003	780	0	840	66	0
#jump/duck
11004	660	0	720	66	0
#hurt
11005	0	66	60	132	0
#death
11006	64	0	128	68	1
#stair
#up
11011	840	0	900	66	0
11012	660	66	720	132	0
#down
11016	840	0	900	66	0
11017	780	66	840	132	0
#whip/use subweapon
#standing
11021	600	0	660	66	0
11022	539	0	599	66	0
11023	480	0	540	66	0
#ducking
11026	480	66	540	132	0
11027	901	132	961	198	0
11028	839	132	899	198	0
#uping
11031	600	132	660	198	0
11032	540	132	600	198	0
11033	480	132	540	198	0
#downing
11036	780	132	840	198	0
11037	720	132	780	198	0
11038	660	132	720	198	0

#effect
#intro
10100	60	66	120	132	10
# left
# idle
10101	0	0	60	66	10
#walk
10102	60	0	120	66	10
10103	120	0	180	66	10
#jump/duck
10104	240	0	300	66	10
#hurt
10105	900	66	960	132	10
#stair
#up
10111	60	0	120	66	10
10112	240	66	300	132	10
#down
10116	60	0	120	66	10
10117	120	66	180	132	10
#whip/use subweapon
#standing
10121	300	0	360	66	10
10122	361	0	421	66	10
10123	420	0	480	66	10
#ducking
10126	420	66	480	132	10
10127	-1	132	59	198	10
10128	61	132	121	198	10
#uping
10131	300	132	360	198	10
10132	360	132	420	198	10
10133	420	132	480	198	10
#downing
10136	120	132	180	198	10
10137	180	132	240	198	10
10138	240	132	300	198	10

# right
# idle
11101	900	0	960	66	10
# walk
11102	840	0	900	66	10
11103	780	0	840	66	10
#jump/duck
11104	660	0	720	66	10
#hurt
11105	0	66	60	132	10
#stair
#up
11111	840	0	900	66	10
11112	660	66	720	132	10
#down
11116	840	0	900	66	10
11117	780	66	840	132	10
#whip/use subweapon
#standing
11121	600	0	660	66	10
11122	539	0	599	66	10
11123	480	0	540	66	10
#ducking
11126	480	66	540	132	10
11127	901	132	961	198	10
11128	839	132	899	198	10
#uping
11131	600	132	660	198	10
11132	540	132	600	198	10
11133	480	132	540	198	10
#downing
11136	780	132	840	198	10
11137	720	132	780	198	10
11138	660	132	720	198	10

#FLOOR
20001	1536	0	1568	32	20

#HOLDER
#firepot
30001	0	0	32	64	30
30002	32	0	64	64	30
#candle
30005	64	0	80	32	30
30006	80	0	96	32	30
#effect
30011	0	0	16	20	31

#ITEM
#small heart
40001	0	0	16	16	40
#big heart
40002	16	0	40	20	40
#money bag
#red
40006	40	0	70	30	40
#white
40007	70	0	100	30	40
#blue
40008	100	0	130	30	40
#whip
#red
40011	130	0	162	32	40
#blue
40012	194	0	224	32	40
#dagger
40016	162	0	194	18	40

#WEAPON
#whip
#left
#lv1
50001
50002
50003
#lv2
50011
50012
50013
#lv3
50021
50022
50023
#right
#lv1
51001
51002
51003
#lv2
51011
51012
51013
#lv3
51021
51022
51023
#dagger
#left
50031	0	0	32	18	51
#right
51031	32	0	64	18	51

#MAP1
1001	0	0 	32	32	100
1002	32	0	64	32	100
1003	64	0	96	32	100
1004	96	0	128	32	100
1005	128	0	160	32	100
1006	160	0	192	32	100
1007	192	0	224	32	100
1008	224	0	256	32	100
1009	256	0	288	32	100
1010	288	0	320	32	100
1011	320	0	352	32	100
1012	352	0	384	32	100
1013	384	0	416	32	100
1014	416	0	448	32	100
1015	448	0	480	32	100
1016	480	0	512	32	100
1017	512	0	544	32	100
1018	0	32	32	64	100
1019	32	32	64	64	100
1020	64	32	96	64	100
1021	96	32	128	64	100
1022	128	32	160	64	100
1023	160	32	192	64	100
1024	192	32	224	64	100
1025	224	32	256	64	100
1026	256	32	288	64	100
1027	288	32	320	64	100
1028	320	32	352	64	100
1029	352	32	384	64	100
1030	384	32	416	64	100
1031	416	32	448	64	100
1032	448	32	480	64	100
1033	480	32	512	64	100
1034	512	32	544	64	100
1035	0	64	32	96	100
1036	32	64	64	96	100
1037	64	64	96	96	100
1038	96	64	128	96	100
1039	128 	64	160	96	100
1040	160	64	192	96	100
1041	192	64	224	96	100
1042	224	64	256	96	100
1043	256	64	288	96	100
1044	288	64	320	96	100
1045	320	64	352	96	100
1046	352	64	384	96	100
1047	384	64	416	96	100
1048	416	64	448	96	100
1049	448	64	480	96	100
1050	480	64	512	96	100
1051	512	64	544	96	100
1052	0	96	32	128	100
1053	32	96	64	128	100
1054	64	96	96	128	100
1055	96	96	128	128	100
1056	128	96	160	128	100
1057	160	96	192	128	100
1058	192	96	224	128	100
1059	224	96	256	128	100
1060	256	96	288	128	100
1061	288	96	320	128	100
